city;state
Alagón del Río;Cáceres
Alaior;Islas Baleares
Alájar;Huelva
Alajeró;Sta. Cruz de Tenerife
Alameda;Málaga
Alameda de Gardón, La;Salamanca
Alameda de la Sagra;Toledo
Alameda del Valle;Madrid
Alamedilla;Granada
Alamedilla, La;Salamanca
Alamillo;Ciudad Real
Alaminos;Guadalajara
Álamo, El;Madrid
Alamús, Els;Lleida
Alange;Badajoz
Alanís;Sevilla
Alaquàs;Valencia
Alar del Rey;Palencia
Alaraz;Salamanca
Alarba;Zaragoza
Alarcón;Cuenca
Alarilla;Guadalajara
Alaró;Islas Baleares
Alàs i Cerc;Lleida
Alatoz;Albacete
Alba;Teruel
Alba de Cerrato;Palencia
Alba de Tormes;Salamanca
Alba de Yeltes;Salamanca
Albacete;Albacete
Albagés, L';Lleida
Albaida;Valencia
Albaida del Aljarafe;Sevilla
Albal;Valencia
Albalá;Cáceres
Albaladejo;Ciudad Real
Albaladejo del Cuende;Cuenca
Albalat de la Ribera;Valencia
Albalat dels Sorells;Valencia
Albalat dels Tarongers;Valencia
Albalate de Cinca;Huesca
Albalate de las Nogueras;Cuenca
Albalate de Zorita;Guadalajara
Albalate del Arzobispo;Teruel
Albalatillo;Huesca
Albánchez;Almería
Albanchez de Mágina;Jaén
Albanyà;Girona
Albares;Guadalajara
Albarracín;Teruel
Albarreal de Tajo;Toledo
Albatana;Albacete
Albatàrrec;Lleida
Albatera;Alicante
Albelda;Huesca
Albelda de Iregua;La Rioja
Albendea;Cuenca
Albendiego;Guadalajara
Albentosa;Teruel
Alberca de Záncara, La;Cuenca
Alberca, La;Salamanca
Alberguería de Argañán, La;Salamanca
Alberic;Valencia
Alberite;La Rioja
Alberite de San Juan;Zaragoza
Albero Alto;Huesca
Albero Bajo;Huesca
Alberuela de Tubo;Huesca
Albesa;Lleida
Albeta;Zaragoza
Albi, L';Lleida
Albillos;Burgos
Albinyana;Tarragona
Albiol, L';Tarragona
Albiztur;Gipuzkoa
Albocàsser;Castellón
Alboloduy;Almería
Albolote;Granada
Albondón;Granada
Albons;Girona
Alborache;Valencia
Alboraya;Valencia
Alborea;Albacete
Alborge;Zaragoza
Albornos;Ávila
Albox;Almería
Albudeite;Murcia
Albuera, La;Badajoz
Albuixech;Valencia
Albuñán;Granada
Albuñol;Granada
Albuñuelas;Granada
Alburquerque;Badajoz
Alcabón;Toledo
Alcadozo;Albacete
Alcaine;Teruel
Alcalá de Ebro;Zaragoza
Alcalá de Guadaíra;Sevilla
Alcalá de Gurrea;Huesca
Alcalá de Henares;Madrid
Alcalá de la Selva;Teruel
Alcalá de la Vega;Cuenca
Alcalá de los Gazules;Cádiz
Alcalá de Moncayo;Zaragoza
Alcalà de Xivert;Castellón
Alcalá del Júcar;Albacete
Alcalá del Obispo;Huesca
Alcalá del Río;Sevilla
Alcalá del Valle;Cádiz
Alcalá la Real;Jaén
Alcalalí;Alicante
Alcampell;Huesca
Alcanadre;La Rioja
Alcanar;Tarragona
Alcanó;Lleida
Alcántara;Cáceres
Alcantarilla;Murcia
Alcàntera de Xúquer;Valencia
Alcantud;Cuenca
Alcañices;Zamora
Alcañiz;Teruel
Alcañizo;Toledo
Alcaracejos;Córdoba
Alcaraz;Albacete
Alcarràs;Lleida
Alcàsser;Valencia
Alcaucín;Málaga
Alcaudete;Jaén
Alcaudete de la Jara;Toledo
Alcázar de San Juan;Ciudad Real
Alcázar del Rey;Cuenca
Alcazarén;Valladolid
Alcázares, Los;Murcia
Alcoba;Ciudad Real
Alcobendas;Madrid
Alcocer;Guadalajara
Alcocer de Planes;Alicante
Alcocero de Mola;Burgos
Alcohujate;Cuenca
Alcolea;Almería
Alcolea de Calatrava;Ciudad Real
Alcolea de Cinca;Huesca
Alcolea de las Peñas;Guadalajara
Alcolea de Tajo;Toledo
Alcolea del Pinar;Guadalajara
Alcolea del Río;Sevilla
Alcoleja;Alicante
Alcoletge;Lleida
Alcollarín;Cáceres
Alconaba;Soria
Alconada;Salamanca
Alconada de Maderuelo;Segovia
Alconchel;Badajoz
Alconchel de Ariza;Zaragoza
Alconchel de la Estrella;Cuenca
Alconera;Badajoz
Alcóntar;Almería
Alcora, l';Castellón
Alcorcón;Madrid
Alcorisa;Teruel
Alcoroches;Guadalajara
Alcover;Tarragona
Alcoy/Alcoi;Alicante
Alcubierre;Huesca
Alcubilla de Avellaneda;Soria
Alcubilla de las Peñas;Soria
Alcubilla de Nogales;Zamora
Alcubillas;Ciudad Real
Alcublas;Valencia
Alcúdia;Islas Baleares
Alcúdia de Crespins, l';Valencia
Alcudia de Monteagud;Almería
Alcudia de Veo;Castellón
Alcúdia, l';Valencia
Alcuéscar;Cáceres
Aldaia;Valencia
Aldea de San Miguel;Valladolid
Aldea de San Nicolás, La;Las Palmas
Aldea del Cano;Cáceres
Aldea del Fresno;Madrid
Aldea del Obispo;Salamanca
Aldea del Obispo, La;Cáceres
Aldea del Rey;Ciudad Real
Aldea en Cabo;Toledo
Aldea Real;Segovia
Aldea, L';Tarragona
Aldeacentenera;Cáceres
Aldeacipreste;Salamanca
Aldeadávila de la Ribera;Salamanca
Aldealafuente;Soria
Aldealcorvo;Segovia
Aldealengua;Salamanca
Aldealengua de Pedraza;Segovia
Aldealengua de Santa María;Segovia
Aldealices;Soria
Aldealpozo;Soria
Aldealseñor;Soria
Aldeamayor de San Martín;Valladolid
Aldeanueva de Barbarroya;Toledo
Aldeanueva de Ebro;La Rioja
Aldeanueva de Figueroa;Salamanca
Aldeanueva de Guadalajara;Guadalajara
Aldeanueva de la Serrezuela;Segovia
Aldeanueva de la Sierra;Salamanca
Aldeanueva de la Vera;Cáceres
Aldeanueva de San Bartolomé;Toledo
Aldeanueva de Santa Cruz;Ávila
Aldeanueva del Camino;Cáceres
Aldeanueva del Codonal;Segovia
Aldeaquemada;Jaén
Aldearrodrigo;Salamanca
Aldearrubia;Salamanca
Aldeaseca;Ávila
Aldeaseca de Alba;Salamanca
Aldeaseca de la Frontera;Salamanca
Aldeasoña;Segovia
Aldeatejada;Salamanca
Aldeavieja de Tormes;Salamanca
Aldehorno;Segovia
Aldehuela de Jerte;Cáceres
Aldehuela de la Bóveda;Salamanca
Aldehuela de Liestos;Zaragoza
Aldehuela de Periáñez;Soria
Aldehuela de Yeltes;Salamanca
Aldehuela del Codonal;Segovia
Aldehuela, La;Ávila
Aldehuelas, Las;Soria
Aldeire;Granada
Aldeonte;Segovia
Aldover;Tarragona
Aledo;Murcia
Alegia;Gipuzkoa
Alegría-Dulantzi;Álava
Aleixar, L';Tarragona
Alella;Barcelona
Alentisque;Soria
Alerre;Huesca
Alesanco;La Rioja
Alesón;La Rioja
Alfacar;Granada
Alfafar;Valencia
Alfafara;Alicante
Alfajarín;Zaragoza
Alfambra;Teruel
Alfamén;Zaragoza
Alfántega;Huesca
Alfara de Carles;Tarragona
Alfara de la Baronia;Valencia
Alfara del Patriarca;Valencia
Alfaraz de Sayago;Zamora
Alfarnate;Málaga
Alfarnatejo;Málaga
Alfaro;La Rioja
Alfarp;Valencia
Alfarràs;Lleida
Alfarrasí;Valencia
Alfàs del Pi, l';Alicante
Alfauir;Valencia
Alfés;Lleida
Alfondeguilla;Castellón
Alforja;Tarragona
Alforque;Zaragoza
Alfoz;Lugo
Alfoz de Bricia;Burgos
Alfoz de Lloredo;Cantabria
Alfoz de Quintanadueñas;Burgos
Alfoz de Santa Gadea;Burgos
Algaba, La;Sevilla
Algadefe;León
